GSP_name,Basin_number,Number_GSPs_inbasin,Number_GSA_authors_unique,Number_GSAs_covered,Number_MTsset_ofseven,MCLs_used,Quality_setting,Qaulity_stakeholderinvolvement,Quality_impacts,QUALITY_SUB,QUALITY_SUB_POSSIBLE,QUALITY_SCORE,Levels_setting,Levels_stakeholderinvolvement,Levels_impacts,Drywell_analysis,Droughtimpacts,ACCESS_SUB,ACCESS_SUB_POSSIBLE,ACCESS_SCORE,BU_DACs,BU_PWS,BU_domwells,Pop_growth,SG_DW,SG_stakeholderinvolvement,HR2W,DWBU_SUB,DWBU_SUB_POSSIBLE,DWBU_SCORE,Ceplan,Outreachandinvolvement,Incorporating_comments,Translation,Stakeholderengagement_implementation,ENGAGEMENT_SUB,ENGAGEMENT_SUB_POSSIBLE,ENGAGEMENT_SCORE,Affordability,AFFORDABILITY_SUB,AFFORDABILITY_SUB_POSSIBLE,AFFORDABILITY_SCORE,Projects_DW,Projects_DACs,PROJECTS_SUB,PROJECTS_SUB_POSSIBLE,PROJECTS_SCORE,Mitigationefforts,Improve,MITIGATION_SUB,MITIGATION_SUB_POSSIBLE,MITIGATION_SCORE,SCORE_minusengagement_summed,SCORE_minusengagement_Averagesubscore,SCORE_minusengagement_summed_minusproj
Santa Cruz Mid-County,3-001,1,1,1,3,2,2,2,2,4,4,100,0,2,2,0,0,2,8,25,NA,1,1,2,2,2,0,6,10,60,2,2,2,0,1,7,10,70,2,2,2,100,2,NA,2,2,100,0,1,1,4,25,56.66666667,68.57142857,58.33333333
180/400 ft Aquifer,3-004.01,1,3,3,4,2,2,1,2,4,4,100,0,2,2,2,0,4,8,50,2,1,2,0,1,0,1,7,12,58.33333333,2,2,2,0,0,6,10,60,0,0,2,0,0,0,0,4,0,0,1,1,4,25,47.05882353,41.9047619,57.69230769
Paso Robles Area,3-004.06,1,4,4,1,1,2,2,2,4,4,100,0,2,2,0,0,2,8,25,1,1,2,1,1,0,0,6,12,50,2,2,1,1,1,7,10,70,0,0,2,0,0,2,2,4,50,0,1,1,4,25,44.11764706,45.71428571,46.15384615
Cuyama Valley,3-013,1,1,1,0,0,2,1,1,3,4,75,0,2,1,0,1,2,8,25,2,2,2,0,1,0,0,7,12,58.33333333,2,2,2,2,1,9,10,90,0,0,2,0,2,2,4,4,100,0,1,1,4,25,50,53.33333333,46.15384615
Oxnard,4-004.02,1,1,3,0,0,2,0,1,3,4,75,0,0,1,0,0,1,8,12.5,NA,1,0,0,0,0,0,1,10,10,2,2,1,0,1,6,10,60,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,16.66666667,22.5,20.83333333
Pleasant Valley,4-006,1,1,3,0,0,1,0,1,2,4,50,0,0,1,0,0,1,8,12.5,2,1,0,0,0,0,0,3,12,25,2,2,1,0,1,6,10,60,0,0,2,0,0,0,0,4,0,0,0,0,4,0,17.64705882,21.07142857,23.07692308
Las Posas,4-008,1,1,3,0,0,2,0,1,3,4,75,0,0,1,0,0,1,8,12.5,2,1,0,0,0,0,0,3,12,25,2,2,1,0,1,6,10,60,0,0,2,0,0,0,0,4,0,0,0,0,4,0,20.58823529,24.64285714,26.92307692
Yuba,5-021.60 &5-021.61,1,3,4,0,0,2,0,1,3,4,75,1,0,1,1,0,3,8,37.5,0,2,2,2,1,0,0,7,12,58.33333333,0,1,2,0,2,5,10,50,0,0,2,0,0,0,0,4,0,0,0,0,4,0,38.23529412,31.54761905,50
Eastern San Joaquin,5-022.01,1,16,16,0,0,2,2,1,3,4,75,0,2,2,1,0,3,8,37.5,2,2,1,1,1,0,0,7,12,58.33333333,2,2,2,2,2,10,10,100,1,1,2,50,2,0,2,4,50,0,1,1,4,25,50,56.54761905,53.84615385
Merced,5-022.04,1,3,3,0,0,2,1,1,3,4,75,0,1,2,1,2,5,8,62.5,2,1,2,2,0,1,1,8,12,66.66666667,2,2,1,1,2,8,10,80,0,0,2,0,2,2,4,4,100,1,1,2,4,50,64.70588235,62.02380952,61.53846154
Chowchilla,5-022.05,1,4,4,2,1,2,2,2,4,4,100,0,2,1,2,0,3,8,37.5,1,2,2,0,0,0,1,6,12,50,2,2,2,2,1,9,10,90,0,0,2,0,0,0,0,4,0,2,0,2,4,50,44.11764706,46.78571429,50
Root Creek Water District,5-022.06,4,1,1,0,0,2,0,1,3,4,75,0,0,0,0,0,0,8,0,NA,2,1,2,0,0,0,5,10,50,0,1,0,0,1,2,10,20,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,26.66666667,20.71428571,33.33333333
New Stone ,5-022.06,4,1,1,1,0,1,0,1,2,4,50,0,1,2,1,0,3,8,37.5,NA,NA,0,NA,0,0,0,0,6,0,0,1,0,0,0,1,10,10,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,19.23076923,13.92857143,25
Gravelly Ford,5-022.06,4,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,8,12.5,NA,NA,0,NA,0,0,0,0,6,0,0,0,1,0,0,1,10,10,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,3.846153846,3.214285714,5
Madera subbasin joint ,5-022.06,4,4,4,2,1,2,1,1,3,4,75,1,2,2,0,0,3,8,37.5,0,2,2,2,0,0,0,6,12,50,2,2,2,2,0,8,10,80,0,0,2,0,2,2,4,4,100,1,1,2,4,50,52.94117647,56.07142857,46.15384615
Northern and Central Delta Mendota,5-022.07,6,8,8,1,1,2,2,1,3,4,75,0,2,2,0,0,2,8,25,2,1,1,1,1,0,0,6,12,50,0,2,1,2,1,6,10,60,0,0,2,0,2,0,2,4,50,0,0,0,4,0,38.23529412,37.14285714,42.30769231
Aliso Water District,5-022.07,6,1,1,1,0,0,2,1,1,4,25,0,2,1,0,1,2,8,25,NA,NA,0,NA,1,0,0,1,6,16.66666667,1,2,0,1,1,5,10,50,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,15.38461538,16.66666667,20
Farmers Water District,5-022.07,6,1,1,0,0,0,1,1,1,4,25,0,0,2,2,0,4,8,50,NA,NA,2,NA,0,0,0,2,6,33.33333333,1,1,0,1,0,3,10,30,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,26.92307692,19.76190476,35
County of Fresno,5-022.07,6,1,2,0,0,0,0,1,1,4,25,0,0,1,1,0,2,8,25,NA,1,2,NA,0,0,0,3,8,37.5,1,1,2,1,0,5,10,50,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,21.42857143,19.64285714,27.27272727
Grasslands,5-022.07,6,2,2,0,0,0,0,0,0,4,0,1,0,1,0,0,2,8,25,NA,2,0,NA,1,0,0,3,8,37.5,2,1,0,1,1,5,10,50,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,17.85714286,16.07142857,22.72727273
San Joaquin River Exchange Contractors,5-022.07,6,11,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,1,1,1,2,0,0,0,5,12,41.66666667,1,1,0,1,0,3,10,30,1,1,2,50,0,0,0,4,0,0,0,0,4,0,17.64705882,17.38095238,23.07692308
North Kings,5-022.08,7,1,1,6,1,2,0,2,4,4,100,2,0,1,2,0,5,8,62.5,2,1,0,2,1,0,0,6,12,50,2,2,2,2,2,10,10,100,1,1,2,50,2,2,4,4,100,0,0,0,4,0,58.82352941,66.07142857,61.53846154
North Fork Kings,5-022.08,7,1,1,4,1,2,0,2,4,4,100,0,1,1,2,1,4,8,50,2,1,1,1,1,0,0,6,12,50,2,2,2,2,2,10,10,100,0,0,2,0,0,0,0,4,0,0,0,0,4,0,41.17647059,42.85714286,53.84615385
McMullin Area,5-022.08,7,1,1,5,1,2,0,2,4,4,100,1,0,1,0,0,2,8,25,2,2,2,0,1,0,0,7,12,58.33333333,2,2,2,2,0,8,10,80,0,0,2,0,0,0,0,4,0,0,0,0,4,0,38.23529412,37.61904762,50
Kings River East,5-022.08,7,1,1,2,1,2,0,2,4,4,100,1,0,1,2,0,4,8,50,2,1,0,1,1,0,0,5,12,41.66666667,0,1,2,1,0,4,10,40,0,0,2,0,2,2,4,4,100,0,0,0,4,0,50,47.38095238,50
South Kings,5-022.08,7,1,1,4,1,2,0,2,4,4,100,0,0,1,0,0,1,8,12.5,2,1,0,1,1,0,0,5,12,41.66666667,2,1,2,1,1,7,10,70,0,0,2,0,2,0,2,4,50,0,1,1,4,25,38.23529412,42.73809524,38.46153846
James,5-022.08,7,1,1,4,1,2,0,1,3,4,75,0,0,1,0,0,1,8,12.5,0,2,1,2,1,0,0,6,12,50,0,1,0,0,1,2,10,20,0,0,2,0,0,0,0,4,0,0,0,0,4,0,29.41176471,22.5,38.46153846
Central Kings,5-022.08,7,1,1,0,0,2,0,0,2,4,50,1,0,1,1,1,4,8,50,1,0,0,1,1,0,0,3,12,25,0,0,1,0,0,1,10,10,0,0,2,0,0,0,0,4,0,0,0,0,4,0,26.47058824,19.28571429,34.61538462
Westside,5-022.09,1,1,2,0,0,0,1,1,1,4,25,0,1,1,0,0,1,8,12.5,2,2,2,1,1,0,0,8,12,66.66666667,2,1,2,2,0,7,10,70,0,0,2,0,0,0,0,4,0,0,1,1,4,25,32.35294118,28.45238095,38.46153846
Mid-Kaweah,5-022.11,3,1,1,6,2,2,2,1,3,4,75,2,1,2,2,0,6,8,75,2,2,2,2,2,0,0,10,12,83.33333333,2,1,2,0,2,7,10,70,0,0,2,0,2,2,4,4,100,1,0,1,4,25,70.58823529,61.19047619,73.07692308
Greater Kaweah,5-022.11,3,1,1,6,2,2,0,1,3,4,75,2,1,1,2,0,5,8,62.5,2,2,2,2,2,0,0,10,12,83.33333333,2,2,2,1,1,8,10,80,0,0,2,0,2,2,4,4,100,2,0,2,4,50,70.58823529,64.4047619,69.23076923
East Kaweah,5-022.11,3,1,1,6,1,2,1,1,3,4,75,1,1,1,2,2,6,8,75,2,2,1,2,2,0,1,10,12,83.33333333,2,2,2,2,2,10,10,100,0,0,2,0,0,0,0,4,0,1,0,1,4,25,58.82352941,51.19047619,73.07692308
Tulare Lake,5-022.12,1,5,5,0,0,0,0,2,2,4,50,0,0,1,0,0,1,8,12.5,2,1,0,1,1,0,0,5,12,41.66666667,2,1,2,1,0,6,10,60,0,0,2,0,0,0,0,4,0,0,0,0,4,0,23.52941176,23.45238095,30.76923077
Eastern Tule,5-022.13,6,1,1,3,0,1,1,1,2,4,50,0,1,1,0,0,1,8,12.5,2,2,1,1,0,0,0,6,12,50,2,1,2,2,2,9,10,90,0,0,2,0,0,0,0,4,0,0,1,1,4,25,29.41176471,32.5,34.61538462
Delano-Earlimart Irrigation District,5-022.13,6,1,1,2,0,1,1,1,2,4,50,0,1,1,0,1,2,8,25,2,1,1,0,0,0,0,4,12,33.33333333,2,1,2,1,1,7,10,70,0,0,2,0,2,2,4,4,100,0,0,0,4,0,35.29411765,39.76190476,30.76923077
Tri-County Water Agency,5-022.13,6,1,1,0,0,2,1,1,3,4,75,0,1,1,0,0,1,8,12.5,2,2,0,2,1,0,0,7,12,58.33333333,0,0,2,0,2,4,10,40,0,0,2,0,0,0,0,4,0,0,0,0,4,0,32.35294118,26.54761905,42.30769231
Lower Tule River,5-022.13,6,1,1,2,0,1,1,1,2,4,50,0,1,1,0,0,1,8,12.5,2,1,1,0,0,0,0,4,12,33.33333333,2,0,0,0,0,2,10,20,0,0,2,0,0,0,0,4,0,1,0,1,4,25,23.52941176,20.11904762,26.92307692
Pixley Irrigation District,5-022.13,6,1,1,2,0,1,1,0,1,4,25,0,1,1,0,1,2,8,25,1,2,1,0,0,0,0,4,12,33.33333333,2,0,0,0,0,2,10,20,0,0,2,0,0,0,0,4,0,0,0,0,4,0,20.58823529,14.76190476,26.92307692
Alpaugh,5-022.13,6,1,1,0,0,1,0,1,2,4,50,0,0,1,0,0,1,8,12.5,2,2,0,0,0,0,0,4,12,33.33333333,0,0,2,0,0,2,10,20,0,0,2,0,0,0,0,4,0,0,1,1,4,25,23.52941176,20.11904762,26.92307692
Kern River,5-022.14,5,2,2,0,0,2,1,1,3,4,75,1,2,2,1,2,6,8,75,2,2,1,2,2,0,0,9,12,75,2,2,2,2,1,9,10,90,1,1,2,50,2,2,4,4,100,2,2,4,4,100,79.41176471,80.71428571,73.07692308
Kern Groundwater Authoriy,5-022.14,5,6,6,0,0,2,1,1,3,4,75,0,1,0,0,1,1,8,12.5,2,2,1,1,0,0,0,6,12,50,2,2,2,2,1,9,10,90,0,0,2,0,2,2,4,4,100,0,0,0,4,0,41.17647059,46.78571429,38.46153846
Buena Vista,5-022.14,5,1,1,0,0,2,0,0,2,4,50,2,0,2,2,0,6,8,75,2,2,2,1,1,0,0,8,12,66.66666667,2,0,0,0,2,4,10,40,0,0,2,0,0,0,0,4,0,2,1,3,4,75,55.88235294,43.80952381,61.53846154
Olcese Water District,5-022.14,5,1,1,0,0,2,0,1,3,4,75,0,0,1,0,0,1,8,12.5,NA,2,1,NA,1,0,0,4,8,50,2,2,1,0,2,7,10,70,0,0,2,0,0,NA,0,2,0,0,1,1,4,25,32.14285714,33.21428571,36.36363636
Henry Miller Water District,5-022.14,5,1,1,0,0,2,0,0,2,4,50,0,0,1,0,0,1,8,12.5,NA,NA,1,NA,0,0,0,1,6,16.66666667,0,0,0,0,0,0,10,0,0,0,2,0,0,NA,0,2,0,0,0,0,4,0,15.38461538,11.30952381,20
Indian Wells Valley,6-054,1,1,1,0,0,2,0,2,4,4,100,2,0,2,2,1,7,8,87.5,0,2,2,1,1,0,2,8,12,66.66666667,2,1,2,0,0,5,10,50,1,1,2,50,2,2,4,4,100,2,0,2,4,50,76.47058824,72.02380952,76.92307692