,GSP_Name,AllWells,Active,PD,FD,PDorFD,WaterSys,WSPD,WSFD,WFPDorFD,percfail,percwsf
1,Alpaugh,5,5,0,0,0,2,0,0,0,0,0
2,Buena Vista,5,4,1,0,1,2,1,0,1,20,50
3,Central Kings,50,40,3,7,10,14,3,7,7,20,50
4,Chowchilla,17,7,3,7,10,5,3,2,3,58.82352941,60
5,Delano-Earlimart Irrigation District,16,6,7,3,10,5,3,2,5,62.5,100
6,East Kaweah,14,5,3,6,9,7,3,5,6,64.28571429,85.71428571
7,Eastern San Joaquin,117,106,7,4,11,28,5,4,8,9.401709402,28.57142857
8,Eastern Tule,51,10,26,15,41,10,6,6,8,80.39215686,80
9,County of Fresno,1,0,0,1,1,1,0,1,1,100,100
10,Grasslands,2,2,0,0,0,1,0,0,0,0,0
11,Greater Kaweah,58,17,25,16,41,17,11,9,14,70.68965517,82.35294118
12,Henry Miller Water District,1,0,1,0,1,1,1,0,1,100,100
13,James,8,3,3,2,5,3,2,1,2,62.5,66.66666667
14,Kern Groundwater Authoriy,99,47,45,7,52,26,16,6,18,52.52525253,69.23076923
15,Kern River,171,109,62,0,62,14,8,0,8,36.25730994,57.14285714
16,Kings River East,54,37,9,8,17,18,6,4,9,31.48148148,50
17,Lower Tule River,17,4,9,4,13,7,5,2,5,76.47058824,71.42857143
18,Madera subbasin joint ,52,20,21,11,32,17,10,6,13,61.53846154,76.47058824
19,McMullin Area,8,4,1,3,4,5,1,3,3,50,60
20,Merced,71,34,13,24,37,14,5,9,10,52.11267606,71.42857143
21,Mid-Kaweah,85,19,42,24,66,4,4,2,4,77.64705882,100
22,North Fork Kings,19,7,8,4,12,6,4,4,6,63.15789474,100
23,North Kings,125,95,17,13,30,16,7,6,10,24,62.5
24,Northern and Central Delta Mendota,42,34,1,7,8,13,1,6,6,19.04761905,46.15384615
25,Pixley Irrigation District,7,0,5,2,7,4,2,2,4,100,100
26,Root Creek Water District,1,1,0,0,0,1,0,0,0,0,0
27,San Joaquin River Exchange Contractors,36,34,2,0,2,9,2,0,2,5.555555556,22.22222222
28,South Kings,19,18,1,0,1,4,1,0,1,5.263157895,25
29,Tri-County Water Agency,5,2,1,2,3,2,1,1,1,60,50
30,Tulare Lake,45,35,5,5,10,8,5,3,7,22.22222222,87.5
31,Westside,6,2,4,0,4,2,2,0,2,66.66666667,100
,Gravelly Ford,0,0,0,0,0,0,0,0,0,0,0
,New Stone ,0,0,0,0,0,0,0,0,0,0,0
,Olcese Water District,0,0,0,0,0,0,0,0,0,0,0
,Aliso Water District,0,0,0,0,0,0,0,0,0,0,0